Date,Time,City,Location,Flood Type/Depth,Passability
2025/07/25,05:46,Malabon City,Rizal Ave. extension near Malabon City Hall,Gutter Deep,Passable to all vehicles
2025/07/25,05:46,Malabon City,Gov. Pascual Ave. MH Del Pilar EB/WB,Gutter Deep,Passable to all vehicles
2025/07/25,03:00,Valenzuela City,Mac Arthur Highway, Valenzuela City,Subsided,
2025/07/24,05:17,Manila City,Roxas blvd. P. Gil Svc. Rd.,Gutter Deep,Passable to all vehicles
2025/07/24,05:17,Manila City,Taft Ave. from Nakpil to Padre Faura North bound,Gutter Deep,Passable to all vehicles
2025/07/24,05:17,Manila City,Taft/UN - NB in front of NBI,Gutter Deep,Passable to all vehicles
2025/07/24,05:17,Malabon City,Don Basilio Bautista, Brgy. Hulong Duhat,Half Gutter Deep,Passable to all vehicles
2025/07/24,05:17,Malabon City,Rizal Ave. Extension near Malabon City Hall,Half Knee Deep,Passable to all vehicles
2025/07/24,05:17,Parañaque City,Dr. A. Santos corner Victor Medina,Gutter Deep,Passable to all vehicles
2025/07/24,05:17,Parañaque City,Dr. A. Santos Ave. -Canaynay Ave, Lianas,Knee-Waist Deep,Not passable to all vehicles
2025/07/24,05:17,Parañaque City,Dr. A. Santos Ave. infront of SM Sucat,Knee-Waist Deep,Not passable to all vehicles
2025/07/24,05:17,Valenzuela City,MacArthur Highway BDO Wilcon,Gutter Deep,Passable to all vehicles
2025/07/23,21:46,Manila City,Roxas Pedro Gil. Service Road,Gutter Deep,Passable to all vehicles
2025/07/23,21:46,Manila City,Along Taft ave. From nakpil to padre Faura North bound,Gutter Deep,Passable to all vehicles
2025/07/23,21:46,Malabon City,Rizal ave extension near Malabon City Hall,Knee Deep,Not passable to light vehicles
2025/07/23,21:46,Malabon City,Don Basilio Bautista Brgy. Hulong Duhat,Half Tire Deep,Not passable to light vehicles
2025/07/23,21:46,Parañaque City,Dr. A. Santos cor Victor Medina,Half Tire Deep,Not passable to light vehicles
2025/07/23,21:46,Las Piñas City,Zapote Junction Barangay Zapote,Subsided,
2025/07/23,21:46,Valenzuela City,McArthur Highway BDO Wilcon,Gutter Deep,Passable to all vehicles
2025/07/23,20:06,Manila City,Taft UN Ave. Intersection,Gutter Deep,Passable to all vehicles
2025/07/23,20:06,Manila City,Roxas Pedro Gil. Service Road,Gutter Deep,Passable to all vehicles
2025/07/23,20:06,Manila City,Taft Ave. PGH,Gutter Deep,Passable to all vehicles
2025/07/23,20:06,Malabon City,Rizal ave extension near Malabon City Hall,Knee Deep,Not passable to light vehicles
2025/07/23,20:06,Malabon City,Don Basilio Bautista Brgy. Hulong Duhat,Half Tire Deep,Not passable to light vehicles
2025/07/23,20:06,Parañaque City,Dr. A. Santos cor Victor Medina,Half Tire Deep,Not passable to light vehicles
2025/07/23,20:06,Las Piñas City,Zapote Junction, Barangay Zapote,Knee Deep,Not passable to light vehicles
2025/07/23,20:06,Valenzuela City,McArthur Highway, BDO, Wilcon,Gutter Deep,Passable to all vehicles
2025/07/23,20:06,Mandaluyong City,EDSA Shaw Tunnel,Gutter Deep,Passable to all vehicles
2025/07/23,19:07,Manila City,Taft UN Ave. Intersection,Gutter Deep,Passable to all vehicles
2025/07/23,19:07,Manila City,Roxas Pedro Gil. Service Road,Gutter Deep,Passable to all vehicles
2025/07/23,19:07,Manila City,Taft UN Ave. towards PGH ERMITA NB,Gutter Deep,Passable to all vehicles
2025/07/23,19:07,Malabon City,Rizal Ave. Extension corner Gen. Luna,Knee Deep,Not passable to light vehicles
2025/07/23,19:07,Malabon City,Rizal Ave. extension near Malabon City Hall,Knee Deep,Not passable to light vehicles
2025/07/23,19:07,Malabon City,M. H. Del Pilar Maysilo,Subsided,
2025/07/23,19:07,Malabon City,Don Basilio Bautista Brgy. Hulong Duhat,Half Knee Deep,Not passable to light vehicles
2025/07/23,19:07,Parañaque City,Dr. A. Santos cor Victor Medina,Gutter Deep,Passable to all vehicles
2025/07/23,19:07,Las Piñas City,Zapote Junction Barangay Zapote,Half Knee Deep,Passable to all vehicles
2025/07/23,19:07,Valenzuela City,McArthur Highway BDO Wilcon,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Recto Benavidez,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,España Blvd Antipolo,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,España Lacson WB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,España Lacson EB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Palanca Quinta Market,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Rizal Ave. Mayhaligue,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Rizal Ave. Bambang,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Rizal Ave. Fugoso,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Rizal Ave Pampanga St.,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Rizal Ave Aurora,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Taft Avenue cor. UN Ave.,Knee Deep,Not passable to light vehicles
2025/07/23,05:45,Manila City,Taft Avenue corner Padre Faura,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Taft Avenue from Apacible to Escoda,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Taft PGH NB/SB,Knee Deep,Not passable to light vehicles
2025/07/23,05:45,Manila City,Taft Remedios NB/SB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Roxas Blvd Pedro Gil northbound,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Roxas Blvd Kalaw NB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Quirino Avenue Guazon,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Quirino Avenue corner Pedro Gil,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Roxas Blvd. U.N. NB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Jose Abad Santos Tayuman,Knee Deep,Not passable to light vehicles
2025/07/23,05:45,Manila City,Jose Abad Santos Yuseco,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Kalaw Taft,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,RMB V. Mapa Intersection,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Esplanade tunnel going to Intramuros,Knee Deep,Not passable to light vehicles
2025/07/23,05:45,Manila City,Ayala Blvd Natividad,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Manila City,Quirino L. Guinto,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Navotas City,C3 cor R10,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Las Piñas City,Alabang Zapote Road Pamplona,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Malabon City,Rizal Ave. Extension near Malabon City Hall,Above Knee Deep,Not passable to all vehicles
2025/07/23,05:45,Malabon City,M. H. Del Pilar Gov Pascual,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Parañaque City,MIA Domestic Rd. EB,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Parañaque City,Gatchalian Evacom,Waist Deep,Not passable to all vehicles
2025/07/23,05:45,Parañaque City,Canaynay Road Gatchalian,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Pasay City,Diokno Blvd. Senate,Knee Deep,Not passable to light vehicles
2025/07/23,05:45,Pasay City,Andrews Ave. Brgy 185,Gutter Deep,Passable to all vehicles
2025/07/23,05:45,Mandaluyong City,EDSA Shaw tunnel NB/SB,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Recto Mendiola Intersection,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Espana Dela Fuente,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Manila City,Espana Blvd Antipolo,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Manila City,Palanca Quinta Market,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Rizal ave Pampanga St.,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Rizal ave Aurora,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,España Lacson WB,Above Gutter Deep,Not passable to light vehicles
2025/07/22,09:43,Manila City,España Lacson EB,Above Gutter Deep,Not passable to light vehicles
2025/07/22,09:43,Manila City,España Blvd cor Antipolo St.,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Manila City,Taft Avenue cor. UN Ave.,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Taft Avenue corner Padre Faura,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Taft Avenue from Apacible to Escoda,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Taft PGH NB/SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Finance Taft,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Roxas Blvd. P. Ocampo Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Roxas Blvd Pedro Gil northbound,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Roxas Blvd Kalaw NB,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Roxas Kalaw SB,Tire Deep,Not passable to all vehicles
2025/07/22,09:43,Manila City,Quirino Avenue Guazon,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Quirino Avenue corner Pedro Gil,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Roxas Blvd. U.N. Intersection and Service Road,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Jose Abad Santos Tayuman,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Jose Abad Santos Recto,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Rizal Ave Fugoso,Half Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Recto Rizal Ave,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Recto Loyola WB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,Kalaw Taft,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,P. Ocampo Mabini Intersection,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Manila City,RMB V. Mapa Intersection,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Navotas City,Road 10 corner C3 Intersection,Half Knee Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,G Araneta Maria Clara NB/SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,Balintawak fronting St. Joseph Church,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,G Araneta E.Rodriguez NB/SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,G Araneta Kaliraya to Victory SB/NB,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Quezon City,G Araneta NS Amoranto,Waist Deep,Not passable to all vehicles
2025/07/22,09:43,Quezon City,Biak na Bato corner Atok street,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Quezon City,EDSA North Avenue northbound,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,Quezon Ave D. Tuazon WB/EB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Quezon City,Quezon Ave Biak na bato EB/WB,Gutter Deep,Passable to all vehicles
2025/07/22,09:22,Quezon City,EDSA Monte de Piedad Genesis Terminal,Subsided,
2025/07/22,09:04,Quezon City,EDSA Aguinaldo Gate 2 NB,Subsided,
2025/07/22,08:59,Quezon City,EDSA Liberty NB,Subsided,
2025/07/22,09:00,Quezon City,EDSA Aurora tunnel NB,Subsided,
2025/07/22,09:43,Las Piñas City,Marcos Alvarez near Wonderland Subd Talon Singko,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Las Piñas City,Alabang Zapote,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Las Piñas City,Zapote Junction,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Malabon City,M.H. Del Pilar Brgy. Maysilo Malabon,Waist Deep,Not passable to all vehicles
2025/07/22,09:43,Malabon City,M. H. Del Pilar Gov Pascual,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Malabon City,P. Aquino Letre,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Malabon City,Rizal Ave. Extension near Malabon City Hall,Above Knee Deep,Not passable to all vehicles
2025/07/22,09:43,Valenzuela City,McArthur Highway, Marulas, BBB, Valenzuela City,Half Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Valenzuela City,Brgy. Marulas,Chest Deep,Not passable to all vehicles
2025/07/22,09:43,Valenzuela City,Brgy. Dalandanan,Waist Deep,Not passable to all vehicles
2025/07/22,09:43,Valenzuela City,Brgy. Malanday,Waist Deep,Not passable to all vehicles
2025/07/22,09:43,Parañaque City,Dr. A. Santos, Green heights,Waist Deep,Not passable to all vehicles
2025/07/22,09:43,Parañaque City,Dr. A. Santos SM Sucat,4 Feet Deep,Not passable to all vehicles
2025/07/22,09:43,Parañaque City,Dr. A. Santos Ave Victor Medina,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Parañaque City,Dr. A. Santos Ave St Peter to Olivares College,6 Feet Deep,Not passable to all vehicles
2025/07/22,09:43,Parañaque City,MIA Domestic,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Parañaque City,Gatchalian Evacom,5 Feet Deep,Not passable to all vehicles
2025/07/22,09:43,Makati City,Osmeña Emilia,Half Knee Deep,Passable to all vehicles
2025/07/22,08:31,Makati City,Magallanes Pasong Tamo WB,Subsided,
2025/07/22,09:43,Caloocan City,C3 NLEX Connector,Knee Deep,Not passable to light vehicles
2025/07/22,09:43,Marikina City,SM Marikina underpass going FVR road,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Marikina City,Major Dizon Marikina, Marikina River overflow,Not passable to all vehicles
2025/07/22,09:43,Pasay City,EDSA Heritage SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Pasay City,EDSA Roxas Blvd NB/SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Pasay City,EDSA Taft MRT NB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Mandaluyong City,EDSA Shaw tunnel NB/SB,Above Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Muntinlupa City,National Road in front of Muntinlupa City Hall Brgy. Putatan,Half Tire Deep,Not passable to light vehicles
2025/07/22,09:43,Pasig City,C5 J. Vargas SB,Gutter Deep,Passable to all vehicles
2025/07/22,09:43,Pasig City,C5 Eagle St. NB,Half Tire Deep,Not passable to light vehicles
2025/07/22,06:40,Manila City,Recto Mendiola Intersection,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Espana Dela Fuente,Tire Deep,Not passable to all vehicles
2025/07/22,06:40,Manila City,Espana Blvd Antipolo,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Manila City,Palanca Quinta Market,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Rizal ave Pampanga st,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Rizal ave Aurora,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,España Lacson WB,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Manila City,España Lacson EB,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Espana corner Dela Fuente,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,España Blvd cor Antipolo St.,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Manila City,Taft Avenue cor. UN Ave.,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Taft Avenue corner Padre Faura,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Taft Avenue from Apacible to Escoda,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Roxas Blvd. P. Ocampo Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Roxas Blvd Pedro Gil northbound,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Roxas Blvd Kalaw northbound,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Quirino Avenue Guazon,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Quirino Avenue corner Pedro Gil,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Roxas Blvd. U.N. Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Jose Abad Santos Tayuman,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Manila City,Jose Abad Santos Recto,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Navotas City,Road 10 corner C3 Intersection,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Quezon City,G. Araneta Maria Clara NB/SB,Chest Deep,Not passable to all vehicles
2025/07/22,06:40,Quezon City,Balintawak fronting St. Joseph Church,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Quezon City,G.Araneta E.Rodriguez intersection,Half Tire Deep,Not passable to light vehicles
2025/07/22,06:40,Quezon City,G. Araneta Victory Ave. NB/SB,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Quezon City,G. Araneta E. Rodriguez to Kaliraya road,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Quezon City,G. Araneta NS Amoranto,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Quezon City,Biak na Bato corner Atok street,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Quezon City,EDSA North Avenue northbound,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Las Piñas City,Marcos Alvarez near Wonderland Subd Talon Singko,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Las Piñas City,Alabang Zapote,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Las Piñas City,Zapote Junction,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Malabon City,M.H. Del Pilar Brgy. Maysilo Malabon,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Malabon City,P. Aquino Letre,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Valenzuela City,McArthur Highway, Marulas, BBB, Valenzuela City,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Valenzuela City,Brgy. Marulas,Chest Deep,Not passable to all vehicles
2025/07/22,06:40,Valenzuela City,Brgy. Dalandanan,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Valenzuela City,Brgy. Malanday,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Parañaque City,Dr. A. Santos ,Green heights,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Parañaque City,SM Sucat Brgy San Dionisio,Waist Deep,Not passable to all vehicles
2025/07/22,06:40,Makati City,Osmenia Emilia,Half Knee Deep,Passable to all vehicles
2025/07/22,06:40,Caloocan City,C3 NLEX Connector,Knee Deep,Not passable to light vehicles
2025/07/22,06:40,Marikina City,SM Marikina underpass going FVR road,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Marikina City,Major Dizon Marikina, Marikina river overflow,Not passable to all vehicles
2025/07/22,06:40,Pasay City,EDSA Heritage SB,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Pasay City,EDSA Roxas Blvd NB/SB,Gutter Deep,Passable to all vehicles
2025/07/22,06:40,Mandaluyong City,EDSA Shaw tunnel NB,Half Knee Deep,Passable to all vehicles
2025/07/22,06:40,Muntinlupa City,National Road in front of Muntinlupa City Hall Brgy. Putatan,Half Tire Deep,Not passable to all vehicles
2025/07/22,04:55,Manila City,Recto Mendiola Intersection,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Espana Dela Fuente,Tire Deep,Not passable to all vehicles
2025/07/22,04:55,Manila City,Espana Blvd Antipolo,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Manila City,Palanca Quinta Market,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Rizal ave Pampanga st,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Rizal ave Aurora,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,España Lacson WB,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Manila City,España Lacson EB,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Espana corner Dela Fuente,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,España Blvd cor Antipolo St,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Taft Avenue cor. UN Ave.,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Taft Avenue corner Padre Faura,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Taft Avenue from Apacible to Escoda,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Roxas Blvd. P. Ocampo Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Roxas Blvd Pedro Gil northbound,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Roxas Blvd Kalaw northbound,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Quirino Avenue Guazon,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Quirino Avenue corner Pedro Gil,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Roxas Blvd. U.N. Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Jose Abad Santos Tayuman,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Manila City,Jose Abad Santos Recto,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Navotas City,Road 10 corner C3 Intersection,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Quezon City,G. Araneta Maria Clara NB/SB,Chest Deep,Not passable to all vehicles
2025/07/22,04:55,Quezon City,Balintawak fronting St. Joseph Church,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Quezon City,G. Araneta E. Rodriguez intersection,Half Tire Deep,Not passable to light vehicles
2025/07/22,04:55,Quezon City,G. Araneta Victory Ave. NB/SB,Chest Deep,Not passable to all vehicles
2025/07/22,04:55,Quezon City,G. Araneta E. Rodriguez to Kaliraya road,Knee Deep,Not passable to all vehicles
2025/07/22,04:55,Quezon City,G. Araneta NS Amoranto,Waist Deep,Not passable to all vehicles
2025/07/22,04:55,Quezon City,Biak na Bato corner Atok street,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Quezon City,EDSA North Avenue northbound,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Las Piñas City,Marcos Alvarez near Wonderland Subd Talon Singko,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Malabon City,M.H. Del Pilar Brgy. Maysilo Malabon,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Valenzuela City,McArthur Highway, Marulas, BBB, Valenzuela City,Waist Deep,Not passable to all vehicles
2025/07/22,04:55,Caloocan City,C3 NLEX Connector,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Marikina City,SM Marikina underpass going FVR road,Gutter Deep,Passable to all vehicles
2025/07/22,04:55,Marikina City,Major Dizon Marikina, Marikina river overflow,Not passable to all vehicles
2025/07/22,04:55,Parañaque City,Dr. A. Santos - Green heights,Waist Deep,Not passable to all vehicles
2025/07/22,04:55,Parañaque City,SM Sucat Brgy San Dionisio,Waist Deep,Not passable to all vehicles
2025/07/22,04:55,Las Piñas City,Alabang - Zapote,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Las Piñas City,Zapote - Junction,Knee Deep,Not passable to light vehicles
2025/07/22,04:55,Makati City,Osmenia - Emilia,Half Knee Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,Taft Avenue corner Padre Faura,Half Gutter Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,Taft Avenue from Apacible to Escoda,Half Gutter Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,Roxas blvd P. Ocampo Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,Quirino Guazon,Gutter Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,Roxas Blvd UN Intersection and Service Road,Gutter Deep,Passable to all vehicles
2025/07/21,10:27,Manila City,JAS Tayuman NB,Gutter Deep,Passable to all vehicles
2025/07/21,13:00,Manila City,Palanca Quinta Market,Gutter Deep,Passable to all vehicles
2025/07/21,13:00,Manila City,España Lacson westbound,Knee Deep,Not passable to light vehicles
2025/07/21,13:00,Manila City,España Lacson eastbound,Gutter Deep,Passable to all vehicles
2025/07/21,10:30,Manila City,España Blvd cor. Antipolo St.,Knee Deep,Not passable to light vehicles
2025/07/21,09:54,Makati City,Magallanes, Pasong Tamo,Half Tire Deep,Not passable to light vehicles
2025/07/21,10:00,Makati City,Edsa before Ayala southbound,Half Gutter Deep,Passable to all vehicles
2025/07/21,09:43,Pasay City,Andrews Ave. Tramo,Above Gutter Deep,Passable to all vehicles
2025/07/21,10:25,Pasay City,Roxas EDSA Heritage Service Road NB,Gutter Deep,Passable to all vehicles
2025/07/21,09:53,Parañaque City,MIA Coastal intersection,Gutter Deep,Passable to all vehicles
2025/07/21,13:00,Quezon City,Araneta Maria Clara NB/SB,Tire Deep,Not passable to all vehicles
2025/07/21,13:00,Quezon City,A. Bonifacio Balintawak,Half Tire Deep,Not passable to light vehicles
2025/07/21,13:00,Quezon City,Commonwealth Sandigan Tunnel WB,Gutter Deep,Passable to all vehicles
2025/07/21,13:00,Quezon City,Commonwealth Winston WB,Waist Deep,Not passable to all vehicles
2025/07/21,13:00,Quezon City,Commonwealth Doña carmen WB,Waist Deep,Not passable to all vehicles
2025/07/21,13:00,Quezon City,Mindanao Ave Extension Toyota,Gutter Deep,Passable to all vehicles
2025/07/21,12:15,Quezon City,Regalado Highway Brookside,Above Knee Deep,Not passable to light vehicles
2025/07/21,10:31,Quezon City,EDSA P. Tuazon Tunnel northbound/southbound,Gutter Deep,Passable to all vehicles
2025/07/21,12:30,Quezon City,EDSA Balintawak northbound,Half Tire Deep,Not passable to light vehicles
2025/07/21,12:30,Quezon City,EDSA Dario Bridge northbound,Gutter Deep,Passable to all vehicles
2025/07/21,11:04,Quezon City,Araneta Victory Ave. NB/SB,Half Tire Deep,Not passable to light vehicles
2025/07/21,11:57,Quezon City,E. Rodriguez-Araneta,Above Gutter Deep,Passable to all vehicles
2025/07/19,16:00,Valenzuela City,In front of PLDT Maysan,Half Tire Deep,Not passable to light vehicles
2025/07/19,16:00,Valenzuela City,Rincon Rd. in front of Dali Store (going to Malinta),Half Tire Deep,Not passable to light vehicles
2025/07/19,16:00,Valenzuela City,Rincon Rd. in front of Dali Store (going to Pasolo),Half Tire Deep,Not passable to light vehicles
2025/07/19,16:00,Quezon City,G. Araneta / NS Amoranto,Subsided,
2025/07/19,16:00,Quezon City,C3 Balintawak,Half Tire Deep,Passable to all vehicles
2025/07/19,09:07,Pasay City,Tramo SB Brgy. 185 going NAIA Terminal 3,Gutter Deep,Passable to all vehicles
2025/07/19,08:42,Manila City,UN. Ave. Service Rd.,Gutter Deep,Passable to all vehicles
2025/07/19,03:15,Manila City,Padre Faura to U. N Station,Gutter Deep,Passable to all vehicles
2025/07/19,03:15,Manila City,Padre Faura intersection Taft Avenue,Gutter Deep,Passable to all vehicles
2025/07/19,09:04,Manila City,Taft Ave., Pedro Gil PGH NB SB,Gutter Deep,Passable to all vehicles
2025/07/19,07:04,Manila City,España Blvd - Bluementritt,Subsided,
2025/07/19,06:11,Manila City,President Quirino ext. cor paz mendoza Guazon SB,Gutter Deep,Passable to all vehicles
